CITYID,CITYNAME,STATEID,ACTIVE
1,Hyderabad,38,Y
2,Mumbai,23,Y
3,Delhi,13,Y
4,Bangalore,20,Y
5,Chennai,32,Y
6,Ahmedabad,15,Y
7,Pune,23,Y
8,Surat,15,Y
9,Kolkata,36,Y
10,Jaipur,30,Y
11,Lucknow,34,Y
12,Kanpur,34,Y
13,Nagpur,23,Y
14,Indore,22,Y
15,Thane,23,Y
16,Bhopal,22,Y
17,Visakhapatnam,8,Y
18,Pimpri-Chinchwad,23,Y
19,Patna,11,Y
20,Vadodara,15,Y
21,Ghaziabad,34,Y
22,Ludhiana,29,Y
23,Agra,34,Y
24,Nashik,23,Y
25,Faridabad,16,Y
26,Meerut,34,Y
27,Rajkot,15,Y
28,Kalyan-Dombivali,23,Y
29,Vasai-Virar,23,Y
30,Varanasi,34,Y
31,Srinagar,18,Y
32,Aurangabad,23,Y
33,Dhanbad,19,Y
34,Amritsar,29,Y
35,Navi Mumbai,23,Y
36,Allahabad,34,Y
37,Ranchi,19,Y
38,Howrah,36,Y
39,Coimbatore,32,Y
40,Jabalpur,22,Y
41,Gwalior,22,Y
42,Vijayawada,8,Y
43,Jodhpur,30,Y
44,Madurai,32,Y
45,Raipur,12,Y
46,Kota,30,Y
47,Guwahati,10,Y
48,Chandigarh,12,N
49,Solapur,23,Y
50,Chandigarh,39,Y
51,Hubballi-Dharwad,20,Y
52,Bareilly,34,Y
53,Moradabad,34,Y
54,Mysore,20,Y
55,Gurgaon,16,Y
56,Aligarh,34,Y
57,Jalandhar,29,Y
58,Tiruchirappalli,32,Y
59,Bhubaneswar,28,Y
60,Salem,32,Y
61,Mira-Bhayandar,23,Y
62,Trivandrum,21,Y
63,Bhiwandi,23,Y
64,Saharanpur,34,Y
65,Gorakhpur,34,Y
66,Guntur,8,Y
67,Bikaner,30,Y
68,Amravati,23,Y
69,Noida,34,Y
70,Jamshedpur,19,Y
71,Bhilai,12,Y
72,Warangal,38,Y
73,Cuttack,28,Y
74,Firozabad,34,Y
75,Kochi,21,Y
76,Bhavnagar,15,Y
77,Dehradun,35,Y
78,Durgapur,36,Y
79,Asansol,36,Y
80,Nanded,23,Y
81,Kolhapur,23,Y
82,Ajmer,30,Y
83,Gulbarga,20,Y
84,Jamnagar,15,Y
85,Ujjain,22,Y
86,Loni,22,Y
87,Siliguri,36,Y
88,Jhansi,34,Y
89,Ulhasnagar,23,Y
90,Nellore,8,Y
91,Jammu,18,Y
92,Sangli-Miraj-Kupwad,23,Y
93,Belgaum,20,Y
94,Mangalore,20,Y
95,Ambattur,32,Y
96,Tirunelveli,32,Y
97,Malegaon,23,Y
98,Gaya,11,Y
99,Jalgaon,23,Y
100,Udaipur,30,Y
101,Maheshtala,36,Y
102,Tirupur,32,Y
103,Davanagere,20,Y
104,Kozhikode,21,Y
105,Kurnool,8,Y
106,Rajahmundry,8,Y
107,Kadapa,8,Y
108,Kakinada,8,Y
109,Tirupati,8,Y
110,Anantapur,8,Y
111,Vizianagaram,8,Y
112,Bhagalpur,11,Y
113,Muzaffarpur,11,Y
114,Bihar-Sharif,11,Y
115,Darbhanga,11,Y
116,Purnia,11,Y
117,Arrah,11,Y
118,Begusarai,11,Y
119,Katihar,11,Y
120,Korba,12,Y
121,Bilaspur,12,Y
122,Durg,12,Y
123,Kirari-Suleman-Nagar,13,Y
124,New-Delhi,13,Y
125,KarawalNagar,13,Y
126,Junagadh,15,Y
127,Gandhidham,15,Y
128,Rohtak,16,Y
129,Hisar,16,Y
130,Panipat,16,Y
131,Karnal,16,Y
132,Sonipat,16,Y
133,Bokaro,19,Y
134,Mango,19,Y
135,Bellary,20,Y
136,Bijapur,20,Y
137,Shivamogga,20,Y
138,Tumkur,20,Y
139,Raichur,20,Y
140,Kollam,21,Y
141,Thrissur,21,Y
142,Dewas,22,Y
143,Satna,22,Y
144,Sagar,22,Y
145,Ratlam,22,Y
146,Rewa,22,Y
147,Akola,23,Y
148,Latur,23,Y
149,Dhule,23,Y
150,Ahmednagar,23,Y
151,Chandrapur,23,Y
152,Parbhani,23,Y
153,Ichalkaranji,23,Y
154,Jalna,23,Y
155,Ambernath,23,Y
156,Aizawl,26,Y
157,Imphal,24,Y
158,Brahmapur,28,Y
159,Rourkela,28,Y
160,Ozhukarai	,28,Y
161,Patiala,29,Y
162,Bathinda,29,Y
163,Bhilwara,30,Y
164,Alwar,30,Y
165,Bharatpur,30,Y
166,Sikar,30,Y
167,Pali,30,Y
168,SriGanganagar,30,Y
169,Avadi,32,Y
170,Tiruvottiyur,32,Y
171,Thoothukudi,32,Y
172,Nagercoil,32,Y
173,Thanjavur,32,Y
174,Nizamabad,38,Y
175,Karimnagar,38,Y
176,Ramagundam,38,Y
177,Agartala,33,Y
178,Muzaffarnagar,34,Y
179,Mathura,34,Y
180,Shahjahanpur,34,Y
181,Rampur,34,Y
182,Mau,34,Y
183,Farrukhabad,34,Y
184,Hapur,34,Y
185,Etawah,34,Y
186,Mirzapur,34,Y
187,Bulandshahr,34,Y
188,Haridwar,35,Y
189,Rajpur Sonarpur,36,Y
190,South Dumdum,36,Y
191,Gopalpur,36,Y
192,Bhatpara,36,Y
193,Panihati,36,Y
194,Kamarhati,36,Y
195,Bardhaman,36,Y
196,Kulti,36,Y
197,Bally,36,Y
198,Barasat,36,Y
199,North Dumdum,36,Y
200,Baranagar,36,Y
201,Puducherry,40,Y
202,Nalgonda,38,Y
203,Mahboobnagar,38,Y
204,Adilabad,38,Y
205,Eluru,8,Y
206,Medak,38,Y
