STATENAME,COUNTRYID,ACTIVE
Andhra Pradesh,98,Y
Arunachal Pradesh ,98,Y
Assam ,98,Y
Bihar ,98,Y
Chattisgarh ,98,Y
Andhra Pradesh,98,Y
Arunachal Pradesh ,98,Y
Assam ,98,Y
Bihar ,98,Y
Chattisgarh ,98,Y
Delhi ,98,Y
Goa ,98,Y
Gujarat ,98,Y
Haryana ,98,Y
Himachal Pradesh ,98,Y
Jammu and Kashmir ,98,Y
Jharkhand ,98,Y
Karnataka ,98,Y
Kerala ,98,Y
Madhya Pradesh ,98,Y
Maharashtra ,98,Y
Manipur ,98,Y
Meghalaya ,98,Y
Mizoram ,98,Y
Nagaland ,98,Y
Orissa,98,Y
Punjab ,98,Y
Rajasthan ,98,Y
Sikkim ,98,Y
Tamil Nadu ,98,Y
Tripura ,98,Y
Uttar Pradesh ,98,Y
Uttaranchal ,98,Y
West Bengal ,98,Y
Andaman and Nicobar Islands,98,Y
Telangana,98,Y
Chandigarh,98,Y
Puducherry,98,Y
